USER_ID,AGE_GROUP,GENDER,COUNTRY,INTERESTS
1,56+,M,US,Toys & Games;Home & Kitchen;Electronics
2,18-25,F,UK,Home & Kitchen
3,46-55,F,DE,Sports;Books;Fashion
4,46-55,F,UK,Home & Kitchen;Electronics;Fashion
5,46-55,M,US,Home & Kitchen
6,26-35,F,CA,Toys & Games;Electronics
7,46-55,M,CA,Electronics;Fashion
8,36-45,F,DE,Books
9,56+,F,JP,Electronics;Toys & Games;Books
10,18-25,M,US,Toys & Games;Sports;Electronics
11,18-25,M,CA,Fashion
12,56+,F,UK,Books;Home & Kitchen
13,36-45,F,CA,Fashion
14,26-35,M,US,Fashion;Books
15,18-25,M,DE,Home & Kitchen;Books
16,26-35,M,DE,Toys & Games
17,26-35,M,US,Sports;Electronics;Home & Kitchen
18,18-25,F,CA,Toys & Games
19,26-35,M,JP,Fashion;Electronics;Toys & Games
20,56+,F,JP,Electronics
21,46-55,M,DE,Books
22,18-25,F,UK,Books;Home & Kitchen;Electronics
23,46-55,F,JP,Sports;Home & Kitchen
24,18-25,F,UK,Electronics
25,36-45,F,FR,Electronics;Toys & Games;Books
26,46-55,F,UK,Sports;Electronics;Fashion
27,18-25,M,DE,Home & Kitchen;Sports
28,26-35,M,UK,Sports
29,46-55,M,DE,Fashion
30,46-55,M,UK,Books
31,46-55,F,CA,Toys & Games;Home & Kitchen
32,18-25,F,DE,Electronics;Books;Sports
33,26-35,M,UK,Books;Fashion
34,26-35,F,JP,Books;Toys & Games;Electronics
35,26-35,M,DE,Toys & Games;Electronics
36,18-25,M,UK,Books
37,36-45,M,CA,Fashion;Toys & Games;Electronics
38,56+,M,UK,Home & Kitchen
39,46-55,M,UK,Sports;Fashion;Toys & Games
40,46-55,M,FR,Fashion;Toys & Games;Books
41,36-45,M,UK,Toys & Games;Home & Kitchen
42,56+,M,JP,Home & Kitchen;Books
43,36-45,M,DE,Home & Kitchen
44,18-25,M,JP,Home & Kitchen;Books;Sports
45,18-25,F,DE,Toys & Games;Fashion
46,56+,F,US,Toys & Games;Fashion
47,18-25,M,JP,Home & Kitchen
48,56+,M,FR,Home & Kitchen;Sports
49,26-35,M,DE,Fashion
50,56+,F,JP,Books;Toys & Games
51,26-35,F,UK,Books
52,36-45,M,DE,Fashion;Books;Toys & Games
53,36-45,M,US,Toys & Games;Home & Kitchen
54,18-25,F,US,Toys & Games;Books;Electronics
55,26-35,M,JP,Fashion;Sports
56,26-35,M,JP,Home & Kitchen;Toys & Games
57,26-35,M,FR,Sports;Fashion
58,26-35,F,CA,Sports;Toys & Games
59,46-55,M,JP,Home & Kitchen
60,46-55,F,FR,Home & Kitchen;Electronics
61,36-45,M,JP,Fashion;Electronics;Sports
62,46-55,F,DE,Home & Kitchen;Toys & Games
63,18-25,F,DE,Home & Kitchen;Sports
64,46-55,F,US,Fashion;Sports
65,56+,F,DE,Electronics;Books;Home & Kitchen
66,26-35,F,CA,Toys & Games
67,36-45,F,FR,Home & Kitchen;Electronics
68,56+,M,UK,Electronics
69,46-55,F,US,Home & Kitchen;Sports;Electronics
70,56+,M,CA,Home & Kitchen;Electronics;Sports
71,56+,M,DE,Books;Toys & Games;Home & Kitchen
72,56+,M,DE,Toys & Games;Sports;Electronics
73,46-55,M,UK,Toys & Games;Books;Sports
74,56+,M,CA,Electronics;Fashion
75,56+,F,US,Sports
76,56+,F,US,Fashion;Sports;Books
77,18-25,F,JP,Books;Toys & Games;Sports
78,56+,F,FR,Books
79,46-55,M,UK,Sports
80,36-45,F,JP,Toys & Games;Home & Kitchen;Fashion
81,18-25,M,FR,Sports;Fashion
82,26-35,M,DE,Sports;Books
83,26-35,M,UK,Books
84,46-55,F,FR,Toys & Games
85,18-25,F,FR,Toys & Games;Sports;Books
86,18-25,M,FR,Toys & Games
87,26-35,M,DE,Electronics;Toys & Games;Sports
88,36-45,F,UK,Books;Toys & Games
89,56+,M,DE,Sports
90,36-45,M,FR,Electronics;Home & Kitchen
91,18-25,F,JP,Toys & Games;Fashion
92,46-55,F,CA,Fashion;Electronics
93,36-45,F,CA,Fashion
94,36-45,F,UK,Books;Toys & Games
95,18-25,F,UK,Sports;Books
96,26-35,F,FR,Home & Kitchen;Fashion;Books
97,18-25,F,FR,Sports
98,36-45,F,UK,Toys & Games;Home & Kitchen
99,36-45,F,US,Sports;Books
100,46-55,F,US,Books
101,36-45,F,UK,Sports;Home & Kitchen;Fashion
102,46-55,M,US,Sports
103,36-45,M,CA,Sports;Toys & Games
104,26-35,F,CA,Electronics
105,36-45,M,DE,Fashion;Books;Sports
106,46-55,M,DE,Books
107,46-55,M,US,Toys & Games
108,46-55,M,CA,Toys & Games;Sports
109,36-45,M,JP,Fashion;Books
110,46-55,F,DE,Sports;Toys & Games;Books
111,56+,M,US,Books;Toys & Games
112,26-35,F,FR,Electronics;Books;Home & Kitchen
113,36-45,F,FR,Electronics
114,46-55,F,US,Fashion;Books
115,26-35,F,UK,Fashion;Electronics;Books
116,36-45,M,DE,Fashion;Toys & Games;Electronics
117,26-35,M,US,Toys & Games;Home & Kitchen
118,56+,M,FR,Sports
119,36-45,M,JP,Books;Toys & Games
120,46-55,F,US,Electronics;Toys & Games
121,18-25,F,US,Fashion;Books
122,46-55,M,CA,Toys & Games;Electronics
123,36-45,M,US,Electronics;Books
124,46-55,M,US,Sports;Fashion
125,18-25,F,FR,Books;Fashion;Sports
126,18-25,F,CA,Electronics
127,18-25,M,JP,Home & Kitchen
128,46-55,F,US,Fashion;Books
129,36-45,M,DE,Fashion;Home & Kitchen;Electronics
130,46-55,M,DE,Home & Kitchen;Electronics
131,18-25,F,UK,Books;Electronics;Toys & Games
132,56+,F,JP,Toys & Games;Home & Kitchen
133,18-25,F,CA,Electronics;Books
134,18-25,F,CA,Electronics;Sports;Home & Kitchen
135,36-45,F,CA,Books;Fashion
136,46-55,F,UK,Books
137,36-45,F,JP,Fashion;Home & Kitchen;Electronics
138,46-55,F,UK,Electronics;Home & Kitchen;Fashion
139,18-25,F,FR,Sports;Electronics
140,18-25,F,US,Electronics
141,18-25,M,JP,Home & Kitchen;Sports
142,46-55,M,FR,Home & Kitchen
143,18-25,M,JP,Sports
144,36-45,M,FR,Books;Fashion
145,36-45,F,CA,Toys & Games;Books
146,18-25,M,JP,Fashion;Home & Kitchen;Electronics
147,56+,F,UK,Toys & Games;Electronics
148,46-55,F,DE,Electronics;Sports
149,56+,M,UK,Fashion;Electronics;Books
150,18-25,F,UK,Sports;Home & Kitchen
151,56+,F,US,Home & Kitchen
152,46-55,F,DE,Toys & Games
153,46-55,M,FR,Sports;Toys & Games
154,56+,F,CA,Toys & Games
155,26-35,M,UK,Toys & Games;Books
156,46-55,F,JP,Toys & Games;Fashion;Home & Kitchen
157,18-25,M,DE,Electronics
158,18-25,M,CA,Sports;Fashion
159,18-25,F,FR,Electronics
160,26-35,M,US,Books;Fashion;Sports
161,18-25,F,US,Books;Fashion;Home & Kitchen
162,56+,F,CA,Electronics;Books;Sports
163,26-35,F,UK,Books;Sports
164,46-55,M,UK,Books
165,26-35,M,US,Electronics;Home & Kitchen
166,18-25,M,US,Electronics
167,18-25,F,US,Sports
168,56+,M,UK,Fashion
169,46-55,M,UK,Fashion
170,46-55,M,JP,Fashion
171,26-35,M,FR,Books;Toys & Games
172,18-25,M,JP,Electronics
173,18-25,F,DE,Fashion
174,26-35,M,FR,Sports;Home & Kitchen
175,36-45,F,UK,Fashion;Sports
176,18-25,M,UK,Home & Kitchen;Fashion;Electronics
177,46-55,F,UK,Toys & Games;Home & Kitchen
178,26-35,M,US,Fashion;Toys & Games;Electronics
179,26-35,F,UK,Fashion;Toys & Games;Sports
180,56+,M,UK,Sports
181,18-25,M,US,Home & Kitchen
182,18-25,F,UK,Home & Kitchen;Toys & Games
183,46-55,F,DE,Fashion;Books
184,36-45,F,CA,Toys & Games;Books
185,46-55,M,FR,Electronics
186,36-45,F,FR,Sports;Electronics
187,56+,M,US,Sports
188,46-55,M,DE,Sports;Electronics
189,46-55,M,CA,Toys & Games;Sports
190,18-25,M,CA,Sports;Electronics;Books
191,46-55,F,UK,Toys & Games;Fashion
192,18-25,F,DE,Toys & Games
193,56+,M,UK,Sports
194,36-45,F,FR,Electronics;Sports;Toys & Games
195,46-55,M,CA,Toys & Games
196,56+,F,CA,Electronics;Books
197,18-25,M,FR,Home & Kitchen;Toys & Games
198,36-45,F,FR,Toys & Games;Sports
199,46-55,M,CA,Home & Kitchen
200,46-55,F,CA,Home & Kitchen;Electronics;Toys & Games
201,26-35,F,UK,Home & Kitchen;Toys & Games
202,46-55,M,UK,Books;Home & Kitchen;Sports
203,56+,M,DE,Books;Fashion
204,46-55,M,JP,Fashion;Toys & Games;Sports
205,46-55,M,US,Books;Electronics;Home & Kitchen
206,26-35,F,CA,Sports;Toys & Games;Home & Kitchen
207,26-35,M,JP,Electronics;Books
208,26-35,F,JP,Books;Toys & Games;Fashion
209,46-55,F,CA,Sports;Fashion
210,36-45,M,US,Home & Kitchen
211,36-45,F,US,Toys & Games
212,56+,M,UK,Toys & Games
213,46-55,F,UK,Sports
214,26-35,F,FR,Books
215,36-45,M,DE,Electronics;Books
216,46-55,F,FR,Home & Kitchen;Sports
217,26-35,F,UK,Toys & Games;Fashion
218,56+,M,FR,Sports
219,36-45,M,CA,Toys & Games
220,36-45,M,UK,Books
221,18-25,F,JP,Electronics
